S’il	U-PER
semble	O
aujourd’hui	O
presque	O
aisé	O
de	O
reconnaître	O
Héraclès	U-PER
ou	O
Athéna	U-PER
En	O
insistant	O
dès	O
lors	O
sur	O
le	O
possible	O
et	O
non	O
l’affirmation	O
car	O
Héraclès	U-PER
n’est	O
pas	O
le	O
seul	O
porteur	O
de	O
la	O
peau	O
de	O
lion.	O
Cf.	B-ORG
Bérard	L-ORG
1987,	O
p.	O
165	O
:	O
«	O
Or,	U-ORG
dans	O
l’imagerie	O
attique,	O
il	O
n’existe	O
pas	O
d’attribut	O
exclusivement	O
réservé	O
à	O
un	O
héros	O
ou	O
à	O
une	O
divinité.	O
Il	B-MISC
n’existe	I-MISC
que	I-MISC
des	I-MISC
signes	I-MISC
qui,	I-MISC
par	L-MISC
combinaison,	O
peuvent	O
devenir	O
attributifs	O
selon	O
le	O
projet	O
momentané	O
des	O
artisans.	O
Même	O
l’égide,	O
la	O
chouette,	O
le	O
foudre,	O
le	O
caducée	O
circulent	O
de	O
main	O
en	O
main	O
et	O
n’ont	O
jamais	O
constitué	O
une	O
clef	O
interprétative	O
fonctionnant	O
de	O
manière	O
mécanique.	O
»	O
Et	O
Athéna	U-PER
n’est	O
pas	O
l’unique	O
propriétaire	O
de	O
l’égide	O
–	O
pour	O
les	O
textes	O
voir	O
par	O
exemple	O
Halm-Tisserant	U-LOC
1986.	O
,	O
par	O
leurs	O
attributs	O
et/ou	O
les	O
contextes	O
dans	O
lesquels	O
ils	O
s’insèrent,	O
certaines	O
autres	O
divinités	O
sont	O
plus	O
complexes	O
à	O
identifier	O
:	O
c’est	U-MISC
le	O
cas	O
pour	O
les	O
déesses	O
ailées.	O
Ces	O
dernières	O
ne	O
peuvent	O
être	O
envisagées	O
comme	O
un	O
groupe	O
homogène	O
de	O
divinités	O
anthropomorphes	O
comportant	O
une	O
caractéristique	O
animale,	O
voire	O
démoniaque	O
Sur	B-MISC
les	I-MISC
confusions	I-MISC
entre	I-MISC
démons	I-MISC
ailés	L-MISC
et	O
déesses	O
ailées	O
voir	O
Kenner	U-PER
1939.	O
,	O
car	O
comme	O
le	O
disait	O
Jean-Pierre	B-PER
Vernant	L-PER
:	O
«	O
Il	O
n’est	O
pas	O
de	O
bonne	O
méthode	O
de	O
fondre	O
ensemble	O
dans	O
une	O
même	O
vague	O
catégorie	O
des	O
figures	O
différentes,	O
sans	O
se	O
soucier	O
des	O
écarts	O
qui,	O
en	O
les	O
distinguant	O
clairement,	O
confèrent	O
à	O
chacune	O
leur	O
signification	O
propre	O
et	O
leur	O
place	O
particulière	O
dans	O
le	O
système	O
des	O
puissances	O
divines	O
Vernant	O
1985,	O
p.	O
35.	O
.	O
»	O
Cette	O
présentation	O
pose	O
la	O
question	O
de	O
l’identification	O
d’Iris,	U-MISC
de	O
Niké	U-PER
et	O
d’	B-PER
Éos	L-PER
,	O
sur	O
un	O
petit	O
nombre	O
de	O
vases	O
à	O
figures	O
rouges	O
dont	O
la	O
production	O
s’étend	O
sur	O
une	O
période	O
d’environ	O
cinquante	O
ans,	O
entre	O
480	O
et	O
430	O
avant	O
notre	O
ère.	O
Ce	O
corpus	O
présente	O
assez	O
clairement	O
les	O
difficultés	O
à	O
reconnaître	O
Niké	U-PER
plutôt	O
qu’Iris	O
ou	O
Iris	U-PER
plutôt	O
qu’	B-PER
Éos	L-PER
.	O
Il	O
permet	O
de	O
présenter	O
quelques	O
réflexions	O
qui	O
ont	O
pu	O
être	O
exposées	O
auparavant	O
sur	O
l’identification	O
dans	O
la	O
céramique	O
attique	O
mais	O
aussi	O
de	O
montrer	O
certaines	O
inscriptions,	O
certaines	O
compositions	O
et	O
certains	O
détails	O
qui,	O
dans	O
ce	O
corpus,	O
peuvent	O
laisser	O
perplexe.	O
Iris	U-PER
déesse	O
ailée	O
au	O
caducée	O
Fig.	B-ORG
1	L-ORG
:	O
Stamnos	U-LOC
à	O
figures	O
rouges	O
attribué	O
au	O
Peintre	B-MISC
de	I-MISC
Berlin.	I-MISC
Paris,	I-MISC
Musée	I-MISC
du	I-MISC
Louvre	I-MISC
G192.	L-MISC
Vers	O
480	O
av.	O
J.-C.	B-PER
BA	L-PER
201979.	O
D’après	O
Siebert	O
1990,	O
LIMC	O
V,	O
Hermès	O
741.	O
Une	O
déesse	O
ailée	O
porteuse	O
de	O
caducée	O
est	O
communément	O
identifiée	O
comme	O
étant	O
Iris,	U-PER
la	O
déesse	O
messagère.	O
Le	O
stamnos	O
du	O
Louvre	B-MISC
G192	L-MISC
(fig.	O
1)	O
montre	O
une	O
iconographie	O
que	O
l’on	O
pourrait	O
dire	O
habituelle	O
de	O
la	O
déesse	O
messagère,	O
ailée,	O
caducéphore,	O
aux	O
côtés	O
de	O
Zeus	U-PER
,	O
et	O
d’Hermès,	O
son	O
«	O
collègue	O
»,	U-LOC
lui	O
aussi	O
dieu	O
messager	O
:	O
la	O
représentation	O
des	O
deux	O
divinités	O
autours	O
du	O
Cronide	U-LOC
renforce	O
cet	O
aspect	O
complémentaire	O
et	O
«	O
dédoublé	O
»	O
des	O
messagers.	O
Fig.	O
2	O
:	O
Cratère	O
à	O
volutes	O
à	O
figures	O
noires,	O
signé	O
Clitias	U-PER
et	O
Ergotimos.	B-PER
Florence,	I-PER
Museo	L-PER
Archeologico	B-PER
Etrusco	L-PER
4209.	O
Vers	B-MISC
570	L-MISC
av.	O
J.-C.	B-MISC
BA	L-MISC
300000.	O
D’après	O
Lissarrague	U-LOC
1999,	O
fig.	O
5	O
