Piège	O
de	O
l’apparence,	O
qui	O
ne	O
produit	O
qu’un	O
leurre	O
visuel	O
et	O
ontologique	O
?	O
Ou	O
interface	O
technique	O
et	O
magique	O
révélant	O
immédiatement	O
le	O
monde	O
dans	O
sa	O
réalité	O
et	O
sa	O
vérité	O
?	O
Dans	O
les	O
cultures	O
occidentale	O
et	O
orientale,	O
le	O
miroir	O
est	O
un	O
instrument	O
de	O
connaissance,	O
révélant	O
au	O
regard	O
humain	O
les	O
êtres	O
et	O
les	O
choses,	O
toutes	O
les	O
dimensions	O
du	O
visible	O
et	O
de	O
l’invisible,	U-ORG
à	O
travers	O
même	O
les	O
jeux	O
d’illusions	O
qu’il	O
génère	O
Pour	O
une	O
présentation	O
générale	O
de	O
cet	O
imaginaire,	O
voir	O
J.	B-MISC
Baltrusaitis,	I-MISC
Essai	L-MISC
sur	O
une	O
légende	O
scientifique.	O
Le	O
miroir.	O
Révélations,	U-LOC
science-fiction	O
et	O
fallacies,	O
Paris,	B-MISC
Elmayan-Le	I-MISC
Seuil,	I-MISC
1978	L-MISC
.	O
Ses	O
riches	O
connotations	O
métaphoriques	O
sous-tendent	O
son	O
emploi	O
dans	O
les	O
titres	O
d’ouvrages	O
du	O
Moyen	B-MISC
Age	L-MISC
et	O
de	O
la	O
Renaissance	U-LOC
H.	B-PER
Grabes	I-PER
(in	L-PER
The	O
Mutable	O
Glass.	O
Mirror-imagery	B-MISC
in	I-MISC
titles	I-MISC
and	I-MISC
texts	I-MISC
of	I-MISC
the	I-MISC
Middle	I-MISC
Ages	I-MISC
and	I-MISC
English	L-MISC
Renaissance,	O
Cambridge,	O
Cambridge	O
university	O
press	O
édition	O
originale	O
:	O
Tübingen,	B-MISC
1973	L-MISC
,	O
1982)	U-ORG
explore	O
la	O
métaphore	O
du	O
miroir,	O
particulièrement	O
présente	O
entre	O
1550	O
et	O
1650,	O
dans	O
les	O
titres	O
de	O
livres	O
anglais	O
du	O
Moyen	B-MISC
Age	L-MISC
à	O
la	O
Renaissance.	U-LOC
:	O
Miroir,	B-MISC
Mirror,	L-MISC
Speculum,	O
Specchio,	O
Spieghel,	O
il	O
désigne	O
des	O
textes	O
à	O
finalité	O
éthique	O
et	O
instructive,	O
dont	O
il	O
souligne	O
le	O
pouvoir	O
d’édification	O
et	O
d’exemplarité	O
morale.	O
La	O
littérature	O
anglaise	O
abonde	O
ainsi	O
en	O
Specula	U-MISC
pour	O
les	O
enfants,	O
les	O
vierges,	O
les	O
moines	O
et	O
les	O
pêcheurs,	O
les	O
laïcs	O
et	O
les	O
parieurs,	O
les	O
célibataires	O
Grabes,	U-LOC
